time; video bitrate Kbps; audio bitrate Kbps; throttle bitrate (Kbps); id; video seconds
2023-01-25 22:02:31.000; 300; 320; 1000; 00108; 419.012879
2023-01-25 22:02:33.000; 300; 320; 1000; 00109; 420.03563
2023-01-25 22:02:35.000; 300; 320; 1000; 00109; 422.08072
2023-01-25 22:02:37.000; 1000; 320; 1000; 00108; 424.639569
2023-01-25 22:02:42.000; 600; 320; 1000; 00109; 429.244398
2023-01-25 22:02:44.000; 300; 320; 1000; 00110; 431.800125
2023-01-25 22:02:46.000; 300; 320; 1000; 00111; 433.845903
2023-01-25 22:02:47.000; 300; 320; 1000; 00111; 433.845903
2023-01-25 22:02:49.000; 300; 320; 1000; 00112; 436.420322
2023-01-25 22:02:49.000; 300; 320; 1000; 00112; 436.930944
2023-01-25 22:02:52.000; 300; 320; 1000; 00113; 439.504332
2023-01-25 22:02:52.000; 300; 320; 1000; 00113; 440.01703
2023-01-25 22:02:55.000; 300; 320; 1000; 00114; 442.571829
2023-01-25 22:02:55.000; 300; 320; 1000; 00114; 442.571829
2023-01-25 22:02:57.000; 300; 320; 1000; 00115; 444.123033
2023-01-25 22:02:58.000; 300; 320; 1000; 00115; 445.14459
2023-01-25 22:02:59.000; 300; 320; 1000; 00115; 446.694685
2023-01-25 22:03:01.000; 300; 320; 1000; 00116; 448.23015
2023-01-25 22:03:02.000; 300; 320; 1000; 00116; 449.778844
2023-01-25 22:03:05.000; 300; 320; 1000; 00117; 452.338474
2023-01-25 22:03:07.000; 300; 320; 1000; 00117; 453.903346
2023-01-25 22:03:09.000; 600; 320; 1000; 00116; 456.474207
2023-01-25 22:03:11.000; 600; 320; 1000; 00117; 459.032245
2023-01-25 22:03:13.000; 600; 320; 1000; 00118; 461.092087
2023-01-25 22:03:16.000; 600; 320; 1000; 00119; 463.666012
2023-01-25 22:03:16.000; 600; 320; 1000; 00119; 463.666012
2023-01-25 22:03:19.000; 600; 320; 1000; 00120; 466.73385
2023-01-25 22:03:20.000; 600; 320; 1000; 00120; 467.244664
2023-01-25 22:03:22.000; 600; 320; 1000; 00121; 469.802181
2023-01-25 22:03:23.000; 600; 320; 1000; 00121; 470.315335
2023-01-25 22:03:25.000; 600; 320; 2000; 00122; 472.375999
2023-01-25 22:03:25.000; 600; 320; 2000; 00122; 472.375999
2023-01-25 22:03:27.000; 600; 320; 2000; 00122; 474.418463
2023-01-25 22:03:29.000; 600; 320; 2000; 00123; 476.463499
2023-01-25 22:03:30.000; 600; 320; 2000; 00123; 477.489349
2023-01-25 22:03:33.000; 600; 320; 2000; 00124; 480.555693
2023-01-25 22:03:34.000; 600; 320; 2000; 00124; 481.577802
2023-01-25 22:03:37.000; 1000; 320; 2000; 00123; 484.646861
2023-01-25 22:03:38.000; 1000; 320; 2000; 00124; 485.670278
2023-01-25 22:03:40.000; 1500; 320; 2000; 00124; 487.219525
2023-01-25 22:03:41.000; 1500; 320; 2000; 00125; 489.264103
2023-01-25 22:03:43.000; 1500; 320; 2000; 00126; 490.287965
2023-01-25 22:03:43.000; 1500; 320; 2000; 00126; 490.798202
2023-01-25 22:03:45.000; 1500; 320; 6000; 00126; 492.348676
2023-01-25 22:03:45.000; 1500; 320; 6000; 00127; 492.348676
2023-01-25 22:03:47.000; 1500; 320; 6000; 00127; 494.424618
2023-01-25 22:03:48.000; 2200; 320; 6000; 00126; 495.959224
2023-01-25 22:03:50.000; 2200; 320; 6000; 00127; 497.494305
2023-01-25 22:03:52.000; 3200; 320; 6000; 00127; 499.540724
2023-01-25 22:03:54.000; 3200; 320; 6000; 00128; 502.097693
2023-01-25 22:03:58.000; 3200; 320; 6000; 00128; 505.164825
2023-01-25 22:03:58.000; 4600; 320; 6000; 00128; 505.676373
2023-01-25 22:04:02.000; 1000; 320; 6000; 00129; 509.783657
2023-01-25 22:04:03.000; 3200; 320; 6000; 00130; 511.317859
2023-01-25 22:04:04.000; 3200; 320; 6000; 00130; 511.317859
2023-01-25 22:04:07.000; 3200; 320; 6000; 00130; 514.385845
2023-01-25 22:04:07.000; 3200; 320; 6000; 00131; 514.897888
2023-01-25 22:04:10.000; 3200; 320; 6000; 00132; 518.476554
2023-01-25 22:04:10.000; 3200; 320; 6000; 00132; 518.476554
2023-01-25 22:04:14.000; 3200; 320; 6000; 00133; 522.055865
2023-01-25 22:04:14.000; 3200; 320; 6000; 00133; 522.055865
2023-01-25 22:04:17.000; 3200; 320; 6000; 00133; 524.611297
2023-01-25 22:04:17.000; 3200; 320; 6000; 00134; 525.123897
2023-01-25 22:04:20.000; 3200; 320; 6000; 00134; 527.679585
2023-01-25 22:04:20.000; 3200; 320; 6000; 00135; 527.679585
2023-01-25 22:04:24.000; 3200; 320; 12000; 00135; 531.776844
2023-01-25 22:04:45.000; 4600; 320; 12000; 00135; 539.943426
2023-01-25 22:04:45.000; 300; 320; 12000; 00136; 539.943426
2023-01-25 22:04:45.000; 300; 320; 12000; 00136; 539.943426
2023-01-25 22:04:46.000; 300; 320; 12000; 00137; 539.943426
2023-01-25 22:04:46.000; 300; 320; 12000; 00137; 539.943426
2023-01-25 22:04:46.000; 300; 320; 12000; 00138; 539.943426
2023-01-25 22:04:46.000; 300; 320; 12000; 00138; 539.943426
2023-01-25 22:04:46.000; 300; 320; 12000; 00139; 540.260546
2023-01-25 22:04:46.000; 300; 320; 12000; 00139; 540.260546
2023-01-25 22:04:47.000; 300; 192; 12000; 00139; 540.771437
2023-01-25 22:04:50.000; 300; 192; 12000; 00140; 543.838931
2023-01-25 22:04:51.000; 300; 256; 12000; 00140; 544.862106
2023-01-25 22:04:54.000; 300; 256; 12000; 00141; 548.440852
2023-01-25 22:04:55.000; 300; 256; 12000; 00141; 548.952995
2023-01-25 22:04:58.000; 1000; 256; 12000; 00140; 553.043462
2023-01-25 22:05:00.000; 1000; 256; 12000; 00141; 554.067023
2023-01-25 22:05:01.000; 4600; 256; 12000; 00141; 556.127466
2023-01-25 22:05:04.000; 4600; 256; 12000; 00142; 559.210392
2023-01-25 22:05:07.000; 4600; 256; 12000; 00142; 561.255758
2023-01-25 22:05:07.000; 4600; 256; 12000; 00143; 561.255758
2023-01-25 22:05:09.000; 4600; 256; 12000; 00144; 562.811841
2023-01-25 22:05:09.000; 4600; 256; 12000; 00144; 562.811841
2023-01-25 22:05:10.000; 4600; 256; 12000; 00144; 564.371379
2023-01-25 22:05:10.000; 4600; 256; 12000; 00145; 564.371379
2023-01-25 22:05:12.000; 4600; 256; 12000; 00145; 565.921912
2023-01-25 22:05:14.000; 4600; 256; 12000; 00146; 568.493116
2023-01-25 22:05:17.000; 4600; 320; 12000; 00146; 571.063569
2023-01-25 22:05:17.000; 4600; 320; 12000; 00146; 571.063569
2023-01-25 22:05:17.000; 4600; 320; 12000; 00146; 571.063569
2023-01-25 22:05:17.000; 4600; 320; 12000; 00147; 572.104365
2023-01-25 22:05:20.000; 4600; 320; 12000; 00147; 574.690677
2023-01-25 22:05:20.000; 4600; 320; 12000; 00148; 574.690677
2023-01-25 22:05:24.000; 4600; 320; 12000; 00148; 577.789609
